"","Division","Calendar_Week","Paid_Views","Organic_Views","Google_Impressions","Email_Impressions","Facebook_Impressions","Affiliate_Impressions","Overall_Views","Sales","DATE"
"67","A","4/13/2019",4026,7447,510358,354103.6537,88100,7432,11555,55278,2019-04-13
"68","A","4/20/2019",6957,8715,546329,383993.2553,125562,7300,14161,75983,2019-04-20
"69","A","4/27/2019",8020,6160,467319,446418.0866,109421,8354,14159,90974,2019-04-27
"70","A","5/4/2019",11691,6807,561319,318656.5701,88528,6379,18387,80480,2019-05-04
"71","A","5/11/2019",13142,9093,486682,260975.9628,112100,7540,22320,77122,2019-05-11
"72","A","5/18/2019",15336,10755,417293,309007.4549,169856,5875,25437,65836,2019-05-18
"73","A","5/25/2019",15917,10120,582162,299886.93,200356,7088,26168,87411,2019-05-25
"74","A","6/1/2019",18772,12188,560371,262085.1934,66883,6118,30760,71105,2019-06-01
"75","A","6/8/2019",67920,17718,532704,243526.4863,148985,8295,84569,61429,2019-06-08
"76","A","6/15/2019",42475,17136,395158,262126.5373,162451,6758,58860,100718,2019-06-15
"77","A","6/22/2019",21638,16547,285499,315185.3518,145226,7373,38107,83203,2019-06-22
"78","A","6/29/2019",23628,16378,469657,324401.4442,94627,6103,39794,70026,2019-06-29
"79","A","7/6/2019",21595,16185,602528,303022.8465,84208,7020,37052,64059,2019-07-06
"80","A","7/13/2019",19294,27347,682543,191097.9041,201701,10817,46264,97488,2019-07-13
"81","A","7/20/2019",18559,35294,565820,402715.0983,114461,9954,53217,80835,2019-07-20
"82","A","7/27/2019",26139,29638,552821,255143.8953,163260,8132,54642,67987,2019-07-27
"83","A","8/3/2019",46219,36834,262613,200978.371,63447,7561,82412,65743,2019-08-03
"84","A","8/10/2019",25766,39727,321418,245340.1626,87072,9432,64607,51781,2019-08-10
"85","A","8/17/2019",24463,35561,393929,267965.6616,119473,10070,60390,88469,2019-08-17
"86","A","8/24/2019",22863,23853,467201,266248.8887,84480,7991,47112,114522,2019-08-24
"87","A","8/31/2019",20780,14495,342902,288880.3273,86358,8960,35503,89866,2019-08-31
"88","A","9/7/2019",24481,13773,539808,360323.0456,198612,6397,37396,99880,2019-09-07
"89","A","9/14/2019",24691,9958,341921,457786.0473,182345,7990,34895,108644,2019-09-14
"90","A","9/21/2019",25762,9740,340565,463792.6043,322838,7243,34733,85220,2019-09-21
"91","A","9/28/2019",35098,13969,579526,274265.2093,900830,8018,48855,76997,2019-09-28
"92","A","10/5/2019",7600,16816,608615,396416.9467,242145,6885,24765,163874,2019-10-05
"93","A","10/12/2019",9223,9742,547427,422359.4076,255787,6505,18260,136164,2019-10-12
"94","A","10/19/2019",14508,9127,501647,376703.3829,231850,7422,23393,144244,2019-10-19
"95","A","10/26/2019",11285,10191,928601,370228.0005,199638,6467,21006,135736,2019-10-26
"96","A","11/2/2019",11806,11485,962662,338882.8297,214581,6690,22609,118467,2019-11-02
"97","A","11/9/2019",11209,13837,2084147,544602.2248,354647,7103,24908,214919,2019-11-09
"98","A","11/16/2019",13201,20528,2237438,703270.8082,579792,6926,33367,217094,2019-11-16
"99","A","11/23/2019",8799,18109,1796295,380939.811,1140918,7574,25583,206061,2019-11-23
"100","A","11/30/2019",8908,15294,1911999,702137.3809,689345,6686,23127,388146,2019-11-30
"101","A","12/7/2019",9177,13014,915377,643742.405,694144,6474,21419,358799,2019-12-07
"102","A","12/14/2019",9113,13371,379714,384384.8284,632111,7236,21993,275981,2019-12-14
"103","A","12/21/2019",7847,12078,328445,389721.376,341376,4683,19184,186635,2019-12-21
"104","A","12/28/2019",7921,13014,535421,266666.3825,108958,6964,21152,130755,2019-12-28
"105","A","1/4/2020",26756,14773,286585,307895.8513,95349,5720,41895,129272,2020-01-04
"106","A","1/11/2020",9038,19361,294204,408192.603,130872,6109,28274,90981,2020-01-11
"107","A","1/18/2020",18550,17990,314118,387119.6323,149976,6948,35516,105848,2020-01-18
"108","A","1/25/2020",21626,16855,504923,320357.9338,114312,6684,37865,76253,2020-01-25
"109","A","2/1/2020",24140,21028,565733,997442.7847,39280,5686,45817,72475,2020-02-01
"110","A","2/8/2020",24187,22064,574706,365408.0809,161435,4944,45482,77613,2020-02-08
"111","A","2/15/2020",23008,25885,432938,288944.3322,292028,6133,47734,168172,2020-02-15
"112","A","2/22/2020",18726,25271,442591,415592.4279,286872,6760,43958,119598,2020-02-22
"113","A","2/29/2020",13873,22205,430426,300293.8358,148089,6864,35199,99357,2020-02-29
